case_reference,date_info_supplied,subject,type_
FOI 15540,09/08/2021,Primate Licensing,FOI
FOI 15538,09/08/2021,Public Health Funerals,FOI
FOI 15334,09/08/2021,Looked after children,FOI
EIR 14903,09/08/2021,Allestree Golf Course,EIR
FOI 14940,09/08/2021,students with coronavirus,FOI
EIR 15537,06/08/2021,Tonnage processed through Raynesway HWRC,EIR
EIR 15533,06/08/2021,Allotment waiting lists,EIR
FOI 15534,06/08/2021,Homeless Vaccinations,FOI
EIR 15535,06/08/2021,Plans or correspondence relating to planning applications,EIR
EIR 15547,06/08/2021,Recycling,EIR
FOI 15490,06/08/2021,Body Bags,FOI
FOI 15450,06/08/2021,Homecare Services,FOI
EIR 15487,05/08/2021,Street Licensing Review,EIR
FOI 15499,05/08/2021,Domestic Homicide Reviews (DHRs),FOI
EIR 15529,05/08/2021,Green number plate incentives,EIR
FOI 15530,05/08/2021,Suspended Employees,FOI
EIR 15531,05/08/2021,Local Green Space,EIR
FOI937562355,05/08/2021,Green belt properties,EIR
FOI447296790,05/08/2021,Licensed Dog Breeders,FOI
EIR 15288,05/08/2021,Energy companies,EIR
FOI 15297,05/08/2021,Council Tax/Business Rates,FOI
EIR 15522,04/08/2021,"Number of playgrounds, MUGAs and outdoor fitness areas",EIR
FOI 15523,04/08/2021,S14 care charges,FOI
FOI 15524,04/08/2021,Food Hygiene Reports,FOI
FOI 15403,04/08/2021,Service Contracts,FOI
FOI 15574,03/08/2021,Noise Nuisance Complaint,FOI
FOI 15541,02/08/2021,Support for children with multi-sensory impairment,FOI
FOI 15516,02/08/2021,Schools - Third Party Supply Spend,FOI
FOI 15521,02/08/2021,Board members responsible for IT,FOI
FOI 15507,02/08/2021,Early years funding formula,FOI
FOI 15509,02/08/2021,Commercial Estates/Property team details,FOI
EIR 15515,30/07/2021,Statement of Intent for Flexible Energy,EIR
FOI 15451,30/07/2021,Council Tax,FOI
FOI 15433,29/07/2021,Burials and Cremations,FOI
FOI 15513,27/07/2021,Business Rates,FOI
FOI 15497,27/07/2021,Business Rates,FOI
FOI 15159,27/07/2021,Hefei Memorandum of Understanding,FOI
FOI 15511,26/07/2021,Predicted funding gap,FOI
FOI 15514,26/07/2021,Fee charging public toilets,FOI
FOI 15505,26/07/2021,Government Restart Grant for business,FOI
FOI 15501,26/07/2021,Telephony Contract,FOI
FOI 15502,26/07/2021,Minimum Income Guarantee Rates for 2020-21 and 2021-22,FOI
FOI 15503,26/07/2021,NNDR Regulation 17 Certificate Information,FOI
FOI 15495,26/07/2021,Elective Home Education,FOI
FOI 15429,26/07/2021,Covid-19 spending,FOI
EIR 15480,26/07/2021,Noise complaints,EIR
FOI 15455,23/07/2021,Alcohol Treatment,FOI
FOI 15482,23/07/2021,Exempt Accommodation,FOI
FOI 15498,23/07/2021,Council Housing Repairs,FOI
FOI 15556,23/07/2021,Domestic Abuse Local Partnership Board,FOI
FOI 14142,23/07/2021,External Providers for ECHP,FOI
FOI 15492,22/07/2021,ICT expenditure.,FOI
EIR 15493,22/07/2021,Childrens Playgrounds,EIR
FOI 15459,21/07/2021,Drug and alcohol services,FOI
FOI 15421,20/07/2021,Leaving Care,FOI
FOI 15484,20/07/2021,Membership of AEHEP,FOI
FOI 15485,20/07/2021,IT Applications,FOI
FOI 15486,20/07/2021,Criminal Prosecutions in relation to Private Landlords,FOI
FOI 15488,20/07/2021,Local Plan Affordable Housing,FOI
FOI 15278,20/07/2021,Leaving Care Service,FOI
FOI 15483,19/07/2021,Missing children in relation to Child Sexual Exploitation and Child Criminal Exploitation,FOI
FOI 15536,19/07/2021,Council Tax,FOI
FOI 15477,19/07/2021,Food Hygiene Report - Annie's Burger Shack,FOI
FOI 15479,16/07/2021,Care Home Fee,FOI
FOI 15481,16/07/2021,FOI Board Members responsible for IT,FOI
FOI 15357,16/07/2021,Looked After Children Sufficiency Strategy,FOI
FOI 15358,16/07/2021,Children's safeguarding monitoring,FOI
FOI 15142,15/07/2021,Information relating to elderly residential care,FOI
FOI 15468,15/07/2021,"Firewall, Anti-virus, and Enterprise contracts",FOI
FOI 15462,15/07/2021,Cremations and deaths,FOI
FOI 15469,14/07/2021,Specialist Language Provisions for children and young people with Developmental Language Disorder,FOI
EIR 15411,14/07/2021,Fly Tipping,EIR
EIR 15378,14/07/2021,Structural repairs & flooded properties,EIR
FOI 15385,14/07/2021,Provision of services,FOI
FOI 15145,13/07/2021,information relating to land,FOI
FOI 15463,13/07/2021,Burials and Cremations,FOI
EIR 15461,13/07/2021,Section 106 Developer Contributions,EIR
FOI 15457,12/07/2021,Sale of Allestree Hall,FOI
FOI 15458,12/07/2021,Recommendation Report for Seven Restaurant,FOI
EIR 15444,09/07/2021,Subsidence Repairs,EIR
FOI 15446,09/07/2021,Learning Disability Care Placements,FOI
FOI 15410,09/07/2021,Residential care,FOI
FOI 15452,08/07/2021,Cloud Hosting,FOI
FOI 15454,08/07/2021,Resident's Newsletter,FOI
FOI 15527,08/07/2021,Credit Balances,FOI
FOI 15293,08/07/2021,Sleep In Shifts,FOI
FOI 15447,07/07/2021,Adult Social Care salary ranges,FOI
FOI 15448,07/07/2021,Next Steps Accommodation Programme,FOI
FOI 15449,07/07/2021,Section 47 Referrals,FOI
FOI 15441,06/07/2021,Private Landlord Civil Penalties,FOI
FOI 14107,06/07/2021,Traffic equipment and incident costs,FOI
FOI 15440,05/07/2021,LOBO loans,FOI
EIR 15443,05/07/2021,Traffic Calming plans for Stenson Road,EIR
EIR 15464,05/07/2021,Museum of making it,EIR
FOI 15504,05/07/2021,Annie's burger shack inspection report,FOI
FOI 15414,02/07/2021,Business Rates,FOI
EIR 15424,02/07/2021,Damage to grass verges,EIR
EIR 15430,02/07/2021,Road surfacing,EIR
EIR 15431,02/07/2021,Parking Tickets Statham Street,EIR
FOI 15434,02/07/2021,Stonewall payments,FOI
FOI 15435,02/07/2021,FOI/DSR time and cost,FOI
FOI 15427,01/07/2021,Children missing from education,FOI
FOI 15425,30/06/2021,Business Rates,FOI
FOI 15426,30/06/2021,Derby City Council Intranet,FOI
FOI 15496,30/06/2021,Inspection for 'Annie's Burger Shack',FOI
FOI 15249,30/06/2021,Social Housing,FOI
FOI 15419,29/06/2021,Burials and Cremations,FOI
FOI 15420,29/06/2021,Councillor Policies,FOI
FOI 15423,29/06/2021,Refuse Collectors,FOI
FOI 15415,28/06/2021,Temporary Agency Usage,FOI
FOI 15416,28/06/2021,Free school meals,FOI
FOI 15417,28/06/2021,Housing,FOI
FOI 14149,28/06/2021,Online education,FOI
FOI 15406,25/06/2021,Council Tax,FOI
EIR 15407,24/06/2021,Street Cleaning Fleet,EIR
FOI 15408,24/06/2021,Burials and Cremations,FOI
FOI 15409,24/06/2021,Burials and Cremations,FOI
FOI 15404,24/06/2021,Derby Arena,FOI
FOI 15405,24/06/2021,Farm Welfare Offences,FOI
FOI 15399,24/06/2021,Empty Commercial Properties,FOI
EIR 15412,24/06/2021,Street Works,EIR
FOI 15491,24/06/2021,Public Health Funerals,FOI
FOI 15390,24/06/2021,Funerals/cremations,FOI
FOI 15395,24/06/2021,IT department salaries and grades,FOI
FOI 15312,24/06/2021,Funding bid,FOI
FOI 15397,23/06/2021,Burials/Cremations,FOI
FOI 15324,23/06/2021,Management of asylum seeker accommodation between Serco and DCC Housing Standards team,FOI
FOI 15401,23/06/2021,Transportation facilities and fuel usage information,FOI
FOI 15471,23/06/2021,Food Hygiene Report - Annie's Burger Shack,FOI
FOI 15472,23/06/2021,Food Hygiene Report - Annie's burger shack,FOI
FOI 15473,23/06/2021,Food Hygiene Report - Annie's Burger Shack,FOI
FOI 15474,23/06/2021,Food Hygiene Report - Annie's Burger Shack,FOI
FOI 15475,23/06/2021,Food Hygiene Report - Annie's Burger Shack,FOI
FOI 15476,23/06/2021,Food Hygiene Report - Annie's Burger Shack,FOI
FOI 15396,22/06/2021,Apprenticeships: levy contribution + spend,FOI
FOI 15392,21/06/2021,Telephone Maintenance,FOI
FOI 15343,21/06/2021,Taxi Licensing,FOI
EIR 14945,21/06/2021,Allestree Golf Course,EIR
EIR 15393,18/06/2021,Inspection Report,EIR
FOI 15387,18/06/2021,Burials & Cremations,FOI
FOI 15467,18/06/2021,Burials and Cremations,FOI
FOI 15380,17/06/2021,Schooling numbers,FOI
FOI 15382,17/06/2021,Windows 7 and XP,FOI
FOI 15383,17/06/2021,Teaching Staff,FOI
FOI 15368,17/06/2021,disabled children’s occupational therapy,FOI
FOI 15132,17/06/2021,Grants,FOI
FOI 15109,16/06/2021,Information relating to AI systems,FOI
FOI 15375,16/06/2021,Election Services,FOI
FOI 15376,16/06/2021,Pay Claims Legal Fees,FOI
FOI 15372,15/06/2021,Student personal injury claims,FOI
FOI 15373,15/06/2021,Discretionary Housing Payments & Rent Guarantee,FOI
EIR 15369,14/06/2021,Street Lights,EIR
EIR 15370,14/06/2021,Community Infrastructure Levy,EIR
FOI 15367,14/06/2021,party political subscriptions,FOI
FOI 15164,14/06/2021,Business Rates,FOI
FOI 15366,11/06/2021,Cloud Strategy,FOI
FOI 15364,10/06/2021,Food Hygiene Inspections,FOI
EIR 15359,10/06/2021,Disabled parking spaces fines,EIR
FOI 15442,10/06/2021,Burials/Cremations,FOI
FOI 15439,10/06/2021,Taxi Licensing,FOI
FOI 15361,09/06/2021,Children Missing from Education,FOI
FOI 15362,09/06/2021,GDPR Data Erasure Requests,FOI
EIR 15351,09/06/2021,Granted planning permission over green belt areas,EIR
FOI 15352,07/06/2021,Animal Welfare,FOI
FOI 15347,07/06/2021,Business Rates,FOI
FOI 15348,07/06/2021,Education services for deaf children,FOI
FOI 15350,07/06/2021,Evictions,FOI
FOI 15340,07/06/2021,Social Worker Training,FOI
EIR 15355,07/06/2021,Measuring height of outbuildings,EIR
FOI 15356,07/06/2021,Adobe Acrobat,FOI
FOI 15388,07/06/2021,Cremations/Burials,FOI
FOI 15389,07/06/2021,Burials/Cremations,FOI
FOI 15391,07/06/2021,Burials/Cremations,FOI
FOI 15245,07/06/2021,Capital Projects,FOI
EIR 15304,07/06/2021,Allestree Golf Course,EIR
FOI 15097,07/06/2021,information relating to parking fines,FOI
FOI 15432,07/06/2021,Public Health Funerals,FOI
FOI 15413,07/06/2021,Elective Home Education,FOI
FOI 15062,04/06/2021,"Staff Travel Plan - attachment Derby City Council Travel Plan 2012 too large to add, please contact foi@derby.gov.uk for a copy",FOI
FOI 15344,04/06/2021,No recourse to public funds,FOI
FOI 15345,04/06/2021,Business Rates,FOI
FOI 15346,04/06/2021,Care Packages,FOI
FOI 15341,03/06/2021,Business Rates,FOI
FOI 15342,03/06/2021,Food Hygiene Reports,FOI
FOI 15332,03/06/2021,Business Rates,FOI
FOI 15323,03/06/2021,Missing looked after and non-looked after children,FOI
FOI 15314,03/06/2021,"Special Educational Needs first tier tribunals, upper tribunals and judicial reviews",FOI
FOI 13665,03/06/2021,SACRE,FOI
FOI 15315,02/06/2021,Consultancy fees spent by council housing departments,FOI
FOI 15335,02/06/2021,Telecoms and IT infrastructure,FOI
EIR 15337,02/06/2021,"Hot Food Takeaway outlet (until recently Use Class A5) ""exclusion zones"" around schools",EIR
FOI 15338,02/06/2021,Microsoft Products,FOI
EIR 15339,02/06/2021,Local Cycling and Walking Infrastructure Plans (LCWIP),EIR
FOI 15354,02/06/2021,Prevent funding,FOI
EIR 15326,01/06/2021,Damage to grass verges,EIR
FOI 15327,01/06/2021,Self-isolation payments,FOI
FOI 15328,01/06/2021,Children Missing from Education,FOI
FOI 15318,28/05/2021,4G+/5G masts,FOI
FOI 15319,28/05/2021,Youth homelessness data,FOI
FOI 15321,28/05/2021,Referrals to Children's Social Services,FOI
EIR 15322,28/05/2021,Recycling refuse collectors noise exposure,EIR
FOI 15308,28/05/2021,Sexual misconduct at schools,FOI
FOI 15309,27/05/2021,Children's Independent Assessments,FOI
FOI 15292,27/05/2021,Commercial Property,FOI
FOI 15316,27/05/2021,Disabled Facilities Grant,FOI
FOI 15317,27/05/2021,Use of old technology,FOI
FOI 15313,27/05/2021,School crossing patrol sites,FOI
EIR 15311,26/05/2021,Textile Recycling,EIR
FOI 15302,26/05/2021,Occupational Health,FOI
FOI 15176,26/05/2021,"Local Restrictions Support Grants (LRSG), Additional Restrictions Grant (ARG",FOI
FOI 14890,26/05/2021,School Placements,FOI
FOI 14863,25/05/2021,Secure Email contracts,FOI
FOI 14963,25/05/2021,Mobile Phone providers,FOI
FOI 15015,25/05/2021,Data Security,FOI
FOI 14676,25/05/2021,"Finance, HR/Payroll Systems and Tax",FOI
FOI 14734,25/05/2021,CRM System,FOI
FOI 15177,25/05/2021,Covid impact on remote working and IT,FOI
FOI 15173,25/05/2021,Sustrans,FOI
FOI 15182,25/05/2021,IT Strategy and Plans,FOI
FOI 15191,25/05/2021,IT Software,FOI
FOI 15135,25/05/2021,Procurement and IT contacts,FOI
FOI 15131,25/05/2021,Applications used by Council,FOI
FOI 15096,25/05/2021,Information relating to Revenue and benefits systems.,FOI
EIR 15310,25/05/2021,Grass verges,EIR
FOI 15279,25/05/2021,Development/digital team,FOI
FOI 15287,25/05/2021,Number of Staff in IT,FOI
FOI 15248,25/05/2021,Housing & Asset Management Systems,FOI
FOI 15228,25/05/2021,IT Helpdesk Tools,FOI
FOI 15305,24/05/2021,MASH Referrals,FOI
FOI 15303,21/05/2021,bed and breakfast accommodation,FOI
FOI 15046,21/05/2021,Information on communications and services,FOI
FOI 15215,21/05/2021,Online Forms,FOI
FOI 14751,21/05/2021,Contact Tracing,FOI
FOI 14756,21/05/2021,Cyber Security,FOI
FOI 14760,21/05/2021,Windows 10,FOI
FOI 14800,21/05/2021,Cyber Security,FOI
FOI 15021,21/05/2021,Telecom and Network Systems,FOI
FOI 15030,21/05/2021,Blocked web domains,FOI
FOI 14622,21/05/2021,Gov Notify service/email use,FOI
FOI 14238,20/05/2021,IT Software,FOI
FOI 15300,20/05/2021,adult neurological and mental health services,FOI
FOI 15301,19/05/2021,Foster Care,FOI
FOI 15299,19/05/2021,Adoptions,FOI
FOI 15040,19/05/2021,Debt Enforcement,FOI
EIR 15298,18/05/2021,Litter Collection,EIR
EIR 15286,18/05/2021,Parking dispensations,EIR
EIR 15284,17/05/2021,Parking Fines,EIR
FOI 15289,17/05/2021,Pupil Premium,FOI
FOI 15290,17/05/2021,Primary School admissions 2021,FOI
FOI 15291,17/05/2021,Exhibiting Reptiles Business,FOI
EIR 15294,17/05/2021,Water Bouys,EIR
EIR 15295,17/05/2021,Independent Report,EIR
EIR 15296,17/05/2021,Castleward CPO Equalities Impact Assessment,EIR
FOI 15282,14/05/2021,Lift Maintenance and Stair Lift Maintenance Contracts,FOI
EIR 15283,13/05/2021,Supporting documents in relation to 20/01612/CLP,EIR
FOI 15285,13/05/2021,"Homelessness, council rents, DHPs",FOI
FOI 15230,13/05/2021,Unregulated Accommodation,FOI
FOI 15276,12/05/2021,Use of Agency social workers,FOI
FOI 15280,12/05/2021,Assessments of agreements with Earnd,FOI
FOI 15281,12/05/2021,Discretionary Housing Payments & Rent Guarantee,FOI
FOI 15277,11/05/2021,Home Education,FOI
FOI 15242,10/05/2021,E-scooter trial,FOI
FOI 15254,10/05/2021,Monitoring Officer OR Head of Legal OR Deputy Head of Legal roles,FOI
EIR 15263,10/05/2021,Large scale developments - EIA,EIR
FOI 15271,10/05/2021,PO0554 License,FOI
FOI 15272,10/05/2021,'Everyone In' funding and spend,FOI
FOI 15273,10/05/2021,Autistic students,FOI
EIR 15274,10/05/2021,Land and property owned by Derby City Council and within the Castleward CPO,EIR
EIR 15266,07/05/2021,Article 4 planning restrictions,EIR
FOI 15267,07/05/2021,Quality Assurance in Children's Social Work,FOI
EIR 15211,07/05/2021,Blue bin recycling,EIR
FOI 15204,06/05/2021,Benefit Claims,FOI
FOI 15091,06/05/2021,information relating to design.,FOI
FOI 15265,06/05/2021,Gary's Reptile Experience,FOI
FOI 15259,06/05/2021,Complaints made by residential tenants,FOI
EIR 15250,04/05/2021,Street Lighting,EIR
FOI 15256,04/05/2021,Library Service,FOI
EIR 15246,04/05/2021,Climate Change,EIR
FOI 15247,04/05/2021,Care home fees and providers,FOI
EIR 15198,29/04/2021,Parking Fixed Penalty Notices,EIR
FOI 15106,29/04/2021,Safeguarding Referrals,FOI
FOI 15161,29/04/2021,Everyone In scheme,FOI
FOI 15243,28/04/2021,Homelessness Team,FOI
FOI 15244,28/04/2021,Business Rates Derby County Football Club,FOI
FOI 15239,27/04/2021,Domestic Abuse Local Partnership Board,FOI
FOI 15240,27/04/2021,Age testing of asylum seekers,FOI
FOI 15100,27/04/2021,Information relating to one friar gate square,FOI
FOI 15232,26/04/2021,Traffic Light Sequences,FOI
EIR 15233,26/04/2021,Pothole compensation,EIR
EIR 15234,26/04/2021,Acid Tar Lagoons,EIR
FOI 15235,26/04/2021,Alterations and Removals of structures/buildings,FOI
FOI 15236,26/04/2021,"Review/reappraisal/redisplay/alteration of items in relation to slavery, empire, colonialism or the Black Lives Matter movement",FOI
FOI 15237,26/04/2021,Grant Schemes,FOI
EIR 14787,23/04/2021,Energy Contracts,EIR
EIR 15229,22/04/2021,Flood Risk Information,EIR
FOI 15226,22/04/2021,Confidential Waste Contract,FOI
FOI 15207,22/04/2021,Allestree project funding,FOI
FOI 14219,22/04/2021,Bottled water costs,FOI
FOI 13720,21/04/2021,Public Notices,FOI
EIR 13546,20/04/2021,Staff Parking,EIR
EIR 15200,20/04/2021,Cycling & Walking Schemes,EIR
FOI 15141,20/04/2021,NRM referrals for illegal tobacco,FOI
EIR 15152,19/04/2021,Potholes,EIR
EIR 15220,19/04/2021,Contaminated blue bins,EIR
FOI 15224,16/04/2021,Derby Wild Animal Licenses,FOI
FOI 15225,16/04/2021,Food Hygiene Inspections,FOI
FOI 15213,16/04/2021,Private residential empty homes,FOI
FOI 15217,16/04/2021,Arthur’s super store,FOI
FOI 15218,16/04/2021,Appointeeship for adult social care,FOI
EIR 15219,16/04/2021,Annual Costs relating to ground maintenance,EIR
EIR 15262,14/04/2021,Large scale developments - EIA,EIR
EIR 13396,14/04/2021,Littering cigarette butts,EIR
FOI 15197,13/04/2021,Assets of Community Value (ACV),FOI
FOI 15201,13/04/2021,Procurement Portal,FOI
EIR 15205,13/04/2021,Breaches of smoke control,EIR
FOI 15199,13/04/2021,Children Services,FOI
FOI 15185,13/04/2021,Domiciliary care deaths,FOI
FOI 15192,12/04/2021,Public Toilets,FOI
FOI 15195,12/04/2021,Housing affordability assessments,FOI
EIR 15188,09/04/2021,Enforcement Notices,EIR
FOI 15189,09/04/2021,Eligible Rent,FOI
FOI 15190,09/04/2021,Residential Family Centres,FOI
FOI 15186,08/04/2021,School Meals,FOI
EIR 15180,08/04/2021,Regeneration Development Projects,EIR
EIR 15258,08/04/2021,Large scale development projects,EIR
FOI 15398,08/04/2021,Public Health Funerals,FOI
FOI 14125,08/04/2021,Education Psychologist Services,FOI
FOI 13840,07/04/2021,Derby Arena and Infinity Park,FOI
FOI 15178,07/04/2021,Language services,FOI
FOI 15183,07/04/2021,Language Services,FOI
FOI 15184,07/04/2021,EHC Timelines,FOI
FOI 14931,07/04/2021,business support grants or discretionary loans,FOI
FOI 15127,06/04/2021,information relating to everybody in campaign,FOI
FOI 15083,06/04/2021,Home Care Providers and Spend,FOI
FOI 14476,06/04/2021,Energy details for council buildings,FOI
FOI 15155,01/04/2021,Information relating to Becketwell site,FOI
FOI 15156,31/03/2021,Information relating to council income.,FOI
FOI 15167,31/03/2021,Business Rates,FOI
FOI 15168,30/03/2021,Live in care packages,FOI
FOI 15169,30/03/2021,Public Art,FOI
FOI 15170,30/03/2021,Information on covid vaccine,FOI
FOI 15043,30/03/2021,Internal Communications,FOI
FOI 15029,29/03/2021,Independent sector care homes,FOI
FOI 15054,29/03/2021,Public Health Funerals,FOI
FOI 15162,29/03/2021,Secondary School National Offer Day 2021,FOI
FOI 15163,29/03/2021,Negative support cessations of refused asylum seekers,FOI
FOI 15153,29/03/2021,Looked after Children,FOI
FOI 15154,26/03/2021,Animal Licensing,FOI
FOI 15165,26/03/2021,information relating to staff and systems,FOI
FOI 14542,26/03/2021,Public electric vehicle (EV) charging points,FOI
FOI 15157,25/03/2021,Information relating to property,FOI
FOI 15084,25/03/2021,Printing Costs,FOI
EIR 14975,25/03/2021,Financial Penalty,EIR
EIR 15005,25/03/2021,Low Traffic Neighbourhoods,EIR
FOI 14793,25/03/2021,Looked after children,FOI
EIR 14838,25/03/2021,Low Traffic Neighbourhoods,EIR
FOI 15113,24/03/2021,Planning staff and spend,FOI
